time ms,FSR force,trigger to gripper cmd,Max Int val,Trigger raw Value,UP Button,DOWN Button,Gripper Position,Gripper Velocity,Robot In Initial Pos,User ID: 10,ON,trial num: 10
87,0,19,20,0,False,False,18.9990062713623,5.87747175411144E-39,,,,
140,0,19,20,0,False,False,18.9990062713623,5.87747175411144E-39,,,,
181,0,19,20,0,False,False,18.9995059967041,5.87747175411144E-39,,,,
230,0,19,20,0,False,False,18.9995059967041,5.87747175411144E-39,,,,
275,0,19,20,0,False,False,18.9995059967041,5.87747175411144E-39,,,,
324,0,19,20,0,False,False,18.9996032714844,5.87747175411144E-39,,,,
369,0,19,20,0,False,False,18.9996032714844,5.87747175411144E-39,,,,
419,0,19,20,0,False,False,18.9994506835938,5.87747175411144E-39,,,,
464,0,19,20,0,False,False,18.9994506835938,5.87747175411144E-39,,,,
513,2,19,20,0,False,False,18.9991130828857,5.87747175411144E-39,,,,
562,0,19,20,0,False,False,18.9991130828857,5.87747175411144E-39,,,,
607,16,19,20,0,False,False,18.9993858337402,5.87747175411144E-39,,,,
656,0,19,20,0,False,False,18.9993858337402,5.87747175411144E-39,,,,
701,0,19,20,0,False,False,18.9994373321533,5.87747175411144E-39,,,,
751,0,19,20,0,False,False,18.9994373321533,5.87747175411144E-39,,,,
796,0,19,20,0,False,False,18.9993534088135,5.87747175411144E-39,,,,
845,0,19,20,0,False,False,18.9993534088135,5.87747175411144E-39,,,,
894,0,19,20,0,False,False,18.9989967346191,5.87747175411144E-39,,,,
939,0,19,20,0,False,False,18.9989967346191,5.87747175411144E-39,,,,
988,0,19,20,0,False,False,18.9984455108643,5.87747175411144E-39,,,,
1033,0,19,20,0,False,False,18.9984455108643,5.87747175411144E-39,,,,
1082,0,19,20,0,False,False,18.9984455108643,5.87747175411144E-39,,,,
1127,0,19,20,0,False,False,18.9987354278564,5.87747175411144E-39,,,,
1177,0,19,20,0,False,False,18.9987354278564,5.87747175411144E-39,,,,
1225,0,19,20,0,False,False,18.9992389678955,5.87747175411144E-39,,,,
1271,0,19,20,0,False,False,18.9992389678955,5.87747175411144E-39,,,,
1320,0,19,20,0,False,False,18.999324798584,5.87747175411144E-39,,,,
1365,0,18.294116973877,20,10,False,False,18.999324798584,5.87747175411144E-39,,,,
1414,0,18.0823535919189,20,13,False,False,19.0002708435059,5.87747175411144E-39,,,,
1459,0,18.0117645263672,20,14,False,False,19.0002708435059,5.87747175411144E-39,,,,
1509,0,17.9411773681641,20,15,False,False,18.9984493255615,5.87747175411144E-39,,,,
1557,0,17.8705883026123,20,16,False,False,18.9984493255615,5.87747175411144E-39,,,,
1602,0,17.7294120788574,20,18,False,False,19.0000038146973,5.87747175411144E-39,,,,
1651,0,17.6588230133057,20,19,False,False,19.0000038146973,5.87747175411144E-39,,,,
1697,0,17.5882358551025,20,20,False,False,18.5409259796143,-11.5623769760132,,,,
1746,0,17.4470596313477,20,22,False,False,18.5409259796143,-11.5623769760132,,,,
1791,0,17.3058815002441,20,24,False,False,18.0152492523193,-5.55845355987549,,,,
1840,0,16.1764698028564,20,40,False,False,18.0152492523193,-5.55845355987549,,,,
1889,0,13.7058820724487,20,75,False,False,17.7328968048096,-0.866186201572418,,,,
1934,0,12.2941179275513,20,95,False,False,17.7328968048096,-0.866186201572418,,,,
1983,0,12.0117645263672,20,99,False,False,17.7328968048096,-0.866186201572418,,,,
2028,3,11.8705883026123,20,101,False,False,17.592098236084,5.87747175411144E-39,,,,
2078,0,11.8000001907349,20,102,False,False,17.592098236084,5.87747175411144E-39,,,,
2122,0,11.7294120788574,20,103,False,False,17.3207187652588,-0.89203679561615,,,,
2172,8,11.7294120788574,20,103,False,False,17.3207187652588,-0.89203679561615,,,,
2221,0,11.7294120788574,20,103,False,False,16.7244834899902,-10.8963184356689,,,,
2266,0,11.65882396698,20,104,False,False,16.7244834899902,-10.8963184356689,,,,
2315,1,11.65882396698,20,104,False,False,14.811824798584,5.87751379306537E-39,,,,
2360,0,11.5882349014282,20,105,False,False,14.811824798584,5.87751379306537E-39,,,,
2409,0,11.5882349014282,20,105,False,False,14.811824798584,5.87751379306537E-39,,,,
2454,0,11.5176467895508,20,106,False,False,14.811824798584,5.87751379306537E-39,,,,
2503,0,11.5176467895508,20,106,False,False,13.7269248962402,5.87747175411144E-39,,,,
2553,0,11.4470586776733,20,107,False,False,13.7269248962402,5.87747175411144E-39,,,,
2598,0,10.6705884933472,20,118,False,False,13.0857152938843,-0.804612159729004,,,,
2652,0,9.82352924346924,20,130,False,False,13.0857152938843,-0.804612159729004,,,,
2692,209,9.11764717102051,20,140,False,False,13.0857152938843,-0.804612159729004,,,,
2741,517,8.97647094726563,20,142,False,False,12.4724540710449,1.63297653198242,,,,
2790,812,8.19999980926514,20,153,False,False,12.4724540710449,1.63297653198242,,,,
2836,854,7.28235292434692,20,166,False,False,11.5357055664063,5.87747175411144E-39,,,,
2884,897,7.14117670059204,20,168,False,False,11.5357055664063,5.87747175411144E-39,,,,
2929,917,7.14117670059204,20,168,False,False,11.533522605896,5.87747175411144E-39,,,,
2978,922,7.07058811187744,20,169,False,False,11.533522605896,5.87747175411144E-39,,,,
3028,898,7.07058811187744,20,169,False,False,10.9325714111328,5.87747175411144E-39,,,,
3073,900,7,20,170,False,False,10.9325714111328,5.87747175411144E-39,,,,
3122,888,7,20,170,False,False,10.2855186462402,5.87747175411144E-39,,,,
3171,882,7,20,170,False,False,10.2855186462402,5.87747175411144E-39,,,,
3216,902,7,20,170,True,False,9.63222789764404,5.87747175411144E-39,,,,
3265,895,7,20,170,True,False,9.63222789764404,5.87747175411144E-39,,,,
3310,0,7,20,170,True,False,8.98706436157227,5.87747175411144E-39,,,,
3359,0,7,20,170,True,False,8.98706436157227,5.87747175411144E-39,,,,
3408,0,7,20,170,True,False,8.34108734130859,5.87747175411144E-39,,,,
3454,0,7,20,170,True,False,8.34108734130859,5.87747175411144E-39,,,,
3503,0,7,20,170,True,False,7.68687200546265,-0.873912751674652,,,,
3548,0,7,20,170,True,False,7.68687200546265,-0.873912751674652,,,,
3597,0,7,20,170,True,False,7.01384496688843,-2.45728659629822,,,,
3642,0,7,20,170,True,False,7.01384496688843,-2.45728659629822,,,,
3691,0,7,20,170,True,False,7.01384496688843,-2.45728659629822,,,,
3740,0,7,20,170,True,False,7.00650501251221,5.87747175411144E-39,,,,
3786,0,7,20,170,True,False,7.00650501251221,5.87747175411144E-39,,,,
3835,0,7,20,170,True,False,7.0036826133728,5.87747175411144E-39,,,,
3880,0,7,20,170,True,False,7.0036826133728,5.87747175411144E-39,,,,
3929,28,7,20,170,True,False,7.00829172134399,5.87747175411144E-39,,,,
3978,12,7,20,170,True,False,7.00829172134399,5.87747175411144E-39,,,,
4023,9,7,20,170,True,False,7.00265979766846,5.87747175411144E-39,,,,
4072,0,7,20,170,True,False,7.00265979766846,5.87747175411144E-39,,,,
4117,0,7,20,170,True,False,7.00247001647949,5.87747175411144E-39,,,,
4166,0,7,20,170,True,False,7.00247001647949,5.87747175411144E-39,,,,
4212,0,7,20,170,True,False,7.00204992294312,5.87747175411144E-39,,,,
4261,0,7,20,170,True,False,7.00204992294312,5.87747175411144E-39,,,,
4310,0,7,20,170,True,False,7.00225019454956,5.87747175411144E-39,,,,
4355,0,7,20,170,True,False,7.00225019454956,5.87747175411144E-39,,,,
4404,16,7,20,170,True,False,7.0030665397644,5.87747175411144E-39,,,,
4449,0,7,20,170,True,False,7.0030665397644,5.87747175411144E-39,,,,
4498,0,7,20,170,True,False,7.0030665397644,5.87747175411144E-39,,,,
4543,0,7,20,170,True,False,7.00201225280762,5.87747175411144E-39,,,,
4592,0,7,20,170,True,False,7.00201225280762,5.87747175411144E-39,,,,
4641,0,7,20,170,True,False,7.00259494781494,5.87747175411144E-39,,,,
4686,0,7,20,170,True,False,7.00259494781494,5.87747175411144E-39,,,,
